Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MAE_TS1,,,,2023-03-17 16:27:54,2023-03-17 16:30:09,2m - 14.679s,PASSED
,,,,,,,
Test Cases/Mobile TC/MAE Onboarding,,,,2023-03-17 16:27:54,2023-03-17 16:30:09,2m - 14.330s,PASSED
"startExistingApplication(""com.maybank2u.life"", CONTINUE_ON_FAILURE)",,,,2023-03-17 16:27:55,2023-03-17 16:28:13,18.045s,PASSED
takeScreenshot(),,,,2023-03-17 16:28:13,2023-03-17 16:28:13,0.513s,PASSED
"getText(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - Skip""), 0)",,,,2023-03-17 16:28:13,2023-03-17 16:28:16,2.370s,PASSED
"tap(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - Skip""), 0)",,,,2023-03-17 16:28:16,2023-03-17 16:28:16,0.299s,PASSED
"getText(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - Agree""), 0)",,,,2023-03-17 16:28:16,2023-03-17 16:28:17,0.748s,PASSED
"takeScreenshot("""", CONTINUE_ON_FAILURE)",,,,2023-03-17 16:28:17,2023-03-17 16:28:17,0.521s,PASSED
"tap(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - Agree""), 0)",,,,2023-03-17 16:28:17,2023-03-17 16:28:18,0.228s,PASSED
"getText(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - Hello""), 0)",,,,2023-03-17 16:28:18,2023-03-17 16:28:20,2.433s,PASSED
"tap(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - Hello""), 0)",,,,2023-03-17 16:28:20,2023-03-17 16:28:21,0.483s,PASSED
"getText(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - Existing M2UMAE user Log in here""), 0)",,,,2023-03-17 16:28:21,2023-03-17 16:28:22,1.794s,PASSED
"takeScreenshot("""", CONTINUE_ON_FAILURE)",,,,2023-03-17 16:28:22,2023-03-17 16:28:23,0.706s,PASSED
"tap(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - Existing M2UMAE user Log in here""), 0)",,,,2023-03-17 16:28:23,2023-03-17 16:28:23,0.348s,PASSED
"getText(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - Login to Maybank2u""), 0)",,,,2023-03-17 16:28:23,2023-03-17 16:28:25,1.351s,PASSED
"setText(findTestObject(""MAE Onboarding/android.widget.EditText""), ""mosajgohar1"", 0)",,,,2023-03-17 16:28:25,2023-03-17 16:28:26,1.014s,PASSED
hideKeyboard(),,,,2023-03-17 16:28:26,2023-03-17 16:28:27,1.562s,PASSED
"takeScreenshot("""", CONTINUE_ON_FAILURE)",,,,2023-03-17 16:28:27,2023-03-17 16:28:28,0.445s,PASSED
"getText(findTestObject(""MAE Onboarding/android.widget.TextView - Continue""), 0)",,,,2023-03-17 16:28:28,2023-03-17 16:28:28,0.306s,PASSED
"tap(findTestObject(""MAE Onboarding/android.widget.TextView - Continue""), 0)",,,,2023-03-17 16:28:28,2023-03-17 16:28:28,0.338s,PASSED
"getText(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - cap""), 0)",,,,2023-03-17 16:28:28,2023-03-17 16:28:30,1.280s,PASSED
"getText(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - Yes, Its Mine""), 0)",,,,2023-03-17 16:28:30,2023-03-17 16:28:30,0.326s,PASSED
"takeScreenshot("""", CONTINUE_ON_FAILURE)",,,,2023-03-17 16:28:30,2023-03-17 16:28:31,0.509s,PASSED
"tap(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - Yes, Its Mine""), 0)",,,,2023-03-17 16:28:31,2023-03-17 16:28:31,0.320s,PASSED
"getText(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - Enter your password""), 0)",,,,2023-03-17 16:28:31,2023-03-17 16:28:32,1.307s,PASSED
"setText(findTestObject(""Object Repository/MAE Onboarding/android.widget.EditText (1)""), findTestData(""DevOps"").getValue(2, 1), 0)",,,,2023-03-17 16:28:32,2023-03-17 16:28:43,11.099s,PASSED
hideKeyboard(),,,,2023-03-17 16:28:43,2023-03-17 16:28:45,1.660s,PASSED
"getText(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - Continue (1)""), 0)",,,,2023-03-17 16:28:45,2023-03-17 16:28:45,0.357s,PASSED
